[Summary]
Cell: MAB.210604.001
Description: MAB.210604.001
Protocol: C:\UHPC_data\Mitch\LNO-4.3V-OCV 15min-30C-max 2C.pro
Mass (mg): 0.99
Capacity (mAHr): 0.27209
User: 
Started: 6/4/2021 7:01:40 PM
Version: 3.0
Channel312UHPC6_03
[End Summary]
[Data]
Time (h),Cycle,Step,Meas I (A),Potential (V),Capacity (Ah),Prot.Step
0.000992666747080301,1,1,0,1.95232453,0,0
0.00107938408289106,1,1,1.3913319E-05,1.95652994,1.20652595596519E-09,0
0.00130856204881393,1,1,1.39133211E-05,1.96240956,4.39515269293156E-09,0
0.00159185204575707,1,1,1.39133211E-05,1.96841654,8.3366573848195E-09,0
0.00310852277944308,1,1,1.39129819E-05,1.99195344,2.943808817375E-08,0
0.00458627987280958,1,1,1.391289505E-05,2.00542443,4.9997958483644E-08,0
0.00613943740183548,1,1,1.39128996E-05,2.01358437,7.16068632636104E-08,0
0.00912653113832628,1,1,1.39127151E-05,2.02179341,1.13165443712164E-07,0
0.0136584901933862,1,1,1.391237275E-05,2.0280059,1.76216324640251E-07,0
0.0196861630698675,1,1,1.39123489E-05,2.03322452,2.60075342346433E-07,0
0.0270999708643154,1,1,1.391225135E-05,2.03835695,3.63218061663758E-07,0
0.0360666296464538,1,1,1.39121074E-05,2.04400749,4.87964120632034E-07,0
0.0450088690250103,1,1,1.39120974E-05,2.04947891,6.12369790682736E-07,0
0.0539219401935003,1,1,1.39118925E-05,2.05491683,7.36368403629879E-07,0
0.0628335568055313,1,1,1.39119828E-05,2.06036884,8.60346748589236E-07,0
0.0717012686783478,1,1,1.391184515E-05,2.06582769,9.83712590996025E-07,0
0.0805300472173461,1,1,1.3911906E-05,2.07129157,1.10653725055616E-06,0
0.0894411446695456,1,1,1.391188335E-05,2.07683245,1.23050724905991E-06,0
0.0982575896426669,1,1,1.391184665E-05,2.08233444,1.35316069491596E-06,0
0.107232658172478,1,1,1.391177765E-05,2.08796282,1.47801988714158E-06,0
0.116043594401757,1,1,1.39118E-05,2.09351421,1.60059600537349E-06,0
0.124740736784219,1,1,1.3911638E-05,2.09902637,1.72158667168348E-06,0
0.13360444651039,1,1,1.391179295E-05,2.10469074,1.84489596159397E-06,0
0.142518335449181,1,1,1.39117689E-05,2.11045028,1.96890369992806E-06,0
0.151296125827234,1,1,1.391148615E-05,2.11619316,2.09101756418683E-06,0
0.160132079839475,1,1,1.3911603E-05,2.12207859,2.21393922156106E-06,0
