	Cycle_ID	Cap_Chg	Cap_DChg	Specific_Capacity-Chg	Specific_Capacity-DChg	Efficiency	Engy_Chg	Engy_DChg	Mid-value_Voltage	CC_Chg_Cap	CC_Chg_Rat	Platform_Cap	Platform_RCap	Platform_Efficiency	Platform_Time	Capacitance_Chg	Capacitance_DChg	rd	REngy_Chg	REngy_DChg	Energy_Efficiency
1	0.00	145.61	0.00	145606.11	0.00	0.00	518.26	3580.4	0.00	0.00	145.61	145606.11	100.00	12:24:08	0.0000	0.0000	0.0000	0.00	518255.56	0.00%	
2	0.01	0.02	6.52	16.31	249.89	0.02	0.05	3001.3	0.00	100.00	0.02	16.31	100.00	0:00:05	0.0000	0.0000	0.0000	19.64	48.96	249.34%	
3	237.59	232.16	237593.69	232162.44	97.71	899.26	863.60	3657.9	0.00	0.96	232.16	232162.44	100.00	2:58:00	0.0000	0.0000	0.0000	899262.43	863602.06	96.03%	
4	232.92	231.97	232916.49	231968.09	99.59	882.70	862.91	3657.9	0.00	0.35	231.97	231968.09	100.00	2:57:51	0.0000	0.0000	0.0000	882704.68	862910.61	97.76%	
5	232.45	231.79	232451.16	231791.30	99.72	880.82	862.24	3657.9	0.00	5.61	231.79	231791.30	100.00	2:57:43	0.0000	0.0000	0.0000	880823.75	862239.03	97.89%	
6	231.68	231.71	231682.15	231706.02	100.01	877.62	861.93	3657.9	0.00	0.00	231.71	231706.02	100.00	2:57:39	0.0000	0.0000	0.0000	877616.25	861926.81	98.21%	
7	232.10	231.67	232103.76	231667.58	99.81	879.34	861.79	3657.6	0.00	0.00	231.67	231667.58	100.00	2:57:37	0.0000	0.0000	0.0000	879336.66	861787.79	98.00%	
8	231.94	231.53	231939.39	231534.93	99.83	878.64	861.31	3657.6	0.00	0.00	231.53	231534.93	100.00	2:57:31	0.0000	0.0000	0.0000	878635.68	861307.88	98.03%	
9	231.81	231.44	231805.98	231439.19	99.84	878.09	860.96	3657.3	0.00	0.00	231.44	231439.19	100.00	2:57:27	0.0000	0.0000	0.0000	878086.52	860956.42	98.05%	
10	231.70	231.35	231699.67	231347.41	99.85	877.66	860.64	3657.3	0.00	2.03	231.35	231347.41	100.00	2:57:23	0.0000	0.0000	0.0000	877656.26	860639.65	98.06%	
11	231.58	231.30	231582.91	231299.39	99.88	877.19	860.45	3657.3	0.00	0.40	231.30	231299.39	100.00	2:57:21	0.0000	0.0000	0.0000	877192.93	860451.83	98.09%	
12	230.40	231.24	230396.79	231237.73	100.36	872.68	860.24	3657.3	0.00	0.00	231.24	231237.73	100.00	2:57:18	0.0000	0.0000	0.0000	872675.15	860237.46	98.57%	
13	231.43	231.16	231427.53	231160.28	99.88	876.59	859.96	3657.3	0.00	0.00	231.16	231160.28	100.00	2:57:14	0.0000	0.0000	0.0000	876587.41	859959.38	98.10%	
14	231.37	231.10	231369.87	231095.59	99.88	876.34	859.71	3656.9	0.00	0.15	231.10	231095.59	100.00	2:57:11	0.0000	0.0000	0.0000	876340.62	859711.45	98.10%	
15	231.28	231.03	231282.92	231033.01	99.89	875.99	859.49	3656.9	0.00	0.00	231.03	231033.01	100.00	2:57:08	0.0000	0.0000	0.0000	875992.48	859489.61	98.12%	
16	231.20	230.97	231195.94	230966.87	99.90	875.67	859.26	3656.9	0.00	0.00	230.97	230966.87	100.00	2:57:05	0.0000	0.0000	0.0000	875671.74	859259.82	98.13%	
17	231.12	230.90	231117.52	230899.56	99.91	875.40	859.02	3656.9	0.00	0.00	230.90	230899.56	100.00	2:57:02	0.0000	0.0000	0.0000	875404.92	859016.77	98.13%	
18	231.03	230.81	231029.68	230813.89	99.91	875.06	858.71	3656.6	0.00	0.15	230.81	230813.89	100.00	2:56:58	0.0000	0.0000	0.0000	875057.07	858706.21	98.13%	
19	230.96	230.27	230960.15	230274.16	99.70	874.78	856.77	3656.6	0.00	2.17	230.27	230274.16	100.00	2:56:33	0.0000	0.0000	0.0000	874783.49	856770.45	97.94%	
20	230.90	230.69	230899.22	230685.37	99.91	874.57	858.25	3656.6	0.00	0.40	230.69	230685.37	100.00	2:56:52	0.0000	0.0000	0.0000	874569.87	858253.71	98.13%	
21	230.81	230.62	230806.06	230622.34	99.92	874.22	858.02	3656.6	0.00	0.16	230.62	230622.34	100.00	2:56:49	0.0000	0.0000	0.0000	874219.14	858020.33	98.15%	
22	230.72	230.54	230715.64	230535.43	99.92	873.88	857.70	3656.6	0.00	0.86	230.54	230535.43	100.00	2:56:45	0.0000	0.0000	0.0000	873877.66	857699.43	98.15%	
23	230.39	230.49	230389.25	230492.25	100.04	872.55	857.56	3656.6	0.00	0.00	230.49	230492.25	100.00	2:56:43	0.0000	0.0000	0.0000	872550.10	857562.51	98.28%	
24	230.60	230.38	230602.02	230376.96	99.90	873.45	857.15	3656.3	0.00	14.14	230.38	230376.96	100.00	2:56:38	0.0000	0.0000	0.0000	873448.82	857146.71	98.13%	
25	230.52	230.33	230517.00	230333.40	99.92	873.16	857.00	3656.3	0.00	0.41	230.33	230333.40	100.00	2:56:36	0.0000	0.0000	0.0000	873158.17	856998.63	98.15%	
26	230.43	228.79	230434.02	228788.62	99.29	872.86	851.72	3656.6	0.00	0.00	228.79	228788.62	100.00	2:55:25	0.0000	0.0000	0.0000	872857.54	851715.80	97.58%	
27	230.17	230.20	230173.74	230200.08	100.01	871.81	856.51	3656.3	0.00	0.87	230.18	230178.34	99.99	2:56:29	0.0000	0.0000	0.0000	871814.32	856514.66	98.25%	
28	230.27	230.09	230274.07	230089.19	99.92	872.25	856.10	3656.3	0.00	0.00	230.09	230089.19	100.00	2:56:25	0.0000	0.0000	0.0000	872253.38	856102.25	98.15%	
29	230.20	230.04	230198.98	230042.29	99.93	872.01	855.95	3656.0	0.00	5.28	230.04	230042.29	100.00	2:56:23	0.0000	0.0000	0.0000	872008.32	855954.10	98.16%	
30	230.11	229.96	230105.22	229957.62	99.94	871.65	855.61	3656.0	0.00	0.17	229.96	229957.62	100.00	2:56:19	0.0000	0.0000	0.0000	871649.87	855612.57	98.16%	
31	230.07	228.87	230067.13	228870.79	99.48	871.51	851.38	3653.2	0.00	0.17	228.87	228870.79	100.00	2:55:29	0.0000	0.0000	0.0000	871512.82	851378.06	97.69%	
32	229.97	229.81	229974.16	229806.59	99.93	871.17	855.10	3656.0	0.00	0.00	229.81	229806.59	100.00	2:56:12	0.0000	0.0000	0.0000	871172.23	855096.78	98.15%	
33	229.92	229.77	229921.16	229766.70	99.93	871.01	854.94	3656.0	0.00	0.15	229.77	229766.70	100.00	2:56:10	0.0000	0.0000	0.0000	871009.24	854942.58	98.16%	
34	229.87	229.75	229873.78	229749.33	99.95	870.84	854.89	3656.0	0.00	2.15	229.75	229749.33	100.00	2:56:09	0.0000	0.0000	0.0000	870838.12	854891.33	98.17%	
35	229.83	229.66	229828.71	229657.17	99.93	870.65	854.57	3656.0	0.00	0.18	229.66	229657.17	100.00	2:56:05	0.0000	0.0000	0.0000	870652.23	854571.04	98.15%	
36	229.74	229.60	229736.68	229595.62	99.94	870.32	854.33	3655.7	0.00	0.00	229.60	229595.62	100.00	2:56:02	0.0000	0.0000	0.0000	870317.83	854334.34	98.16%	
37	229.67	229.53	229673.18	229528.41	99.94	870.10	854.10	3656.0	0.00	0.00	229.53	229528.41	100.00	2:55:59	0.0000	0.0000	0.0000	870097.36	854095.30	98.16%	
38	229.60	229.24	229599.87	229244.58	99.85	869.82	853.10	3655.7	0.00	0.45	229.24	229244.58	100.00	2:55:46	0.0000	0.0000	0.0000	869824.79	853103.97	98.08%	
39	229.52	229.27	229523.89	229265.39	99.89	869.57	853.14	3655.7	0.00	0.00	229.27	229265.39	100.00	2:55:47	0.0000	0.0000	0.0000	869570.47	853143.43	98.11%	
40	229.49	229.36	229488.40	229357.90	99.94	869.45	853.48	3655.7	0.00	0.00	229.36	229357.90	100.00	2:55:51	0.0000	0.0000	0.0000	869448.22	853476.73	98.16%	
41	229.41	229.29	229414.17	229291.78	99.95	869.18	853.24	3655.7	0.00	0.89	229.29	229291.78	100.00	2:55:48	0.0000	0.0000	0.0000	869175.05	853237.51	98.17%	
42	229.36	229.22	229357.45	229224.70	99.94	868.98	853.01	3655.7	0.00	0.00	229.22	229224.70	100.00	2:55:45	0.0000	0.0000	0.0000	868977.29	853007.11	98.16%	
43	229.28	229.14	229284.69	229138.81	99.94	868.70	852.68	3655.4	0.00	0.00	229.14	229138.81	100.00	2:55:41	0.0000	0.0000	0.0000	868698.30	852681.10	98.16%	
44	229.26	229.12	229260.58	229115.56	99.94	868.63	852.61	3655.4	0.00	0.00	229.09	229093.83	99.99	2:55:39	0.0000	0.0000	0.0000	868626.27	852610.53	98.16%	
45	229.17	229.05	229165.99	229048.89	99.95	868.29	852.36	3655.4	0.00	0.16	229.05	229048.89	100.00	2:55:37	0.0000	0.0000	0.0000	868287.94	852360.81	98.17%	
46	229.14	229.03	229137.52	229027.83	99.95	868.19	852.29	3655.4	0.00	0.00	229.03	229027.83	100.00	2:55:36	0.0000	0.0000	0.0000	868189.20	852285.29	98.17%	
47	229.07	228.96	229069.92	228960.28	99.95	867.93	852.05	3655.4	0.00	0.46	228.96	228960.28	100.00	2:55:33	0.0000	0.0000	0.0000	867931.45	852053.75	98.17%	
48	228.99	228.88	228992.67	228877.95	99.95	867.66	851.76	3655.4	0.00	0.16	228.88	228877.95	100.00	2:55:29	0.0000	0.0000	0.0000	867657.54	851757.33	98.17%	
49	228.94	228.81	228941.07	228814.44	99.94	867.46	851.52	3655.4	0.00	0.16	228.81	228814.44	100.00	2:55:26	0.0000	0.0000	0.0000	867458.45	851522.42	98.16%	
50	228.89	228.77	228889.84	228769.61	99.95	867.29	851.36	3655.1	0.00	0.16	228.77	228769.61	100.00	2:55:24	0.0000	0.0000	0.0000	867285.12	851362.06	98.16%	
51	228.83	228.44	228832.45	228438.15	99.83	867.08	850.14	3654.5	0.00	0.00	228.44	228438.15	100.00	2:55:09	0.0000	0.0000	0.0000	867082.96	850142.51	98.05%	
52	228.78	228.64	228781.99	228635.13	99.94	866.88	850.87	3655.1	0.00	0.48	228.64	228635.13	100.00	2:55:18	0.0000	0.0000	0.0000	866884.51	850870.45	98.15%	
53	227.88	228.61	227881.72	228609.60	100.32	863.58	850.78	3655.1	0.00	0.18	228.61	228609.60	100.00	2:55:17	0.0000	0.0000	0.0000	863576.98	850776.25	98.52%	
54	0.00	1.65	3.26	1653.55	50705.11	0.01	5.00	3022.3	0.00	100.00	1.65	1653.55	100.00	0:08:27	0.0000	0.0000	0.0000	9.86	5001.52	50733.93%	
