Cycle_ID	Step_ID	Step_Type	Step_Time	Cap	CmpCap	Energy	CmpEng	Capacitance_Chg	Start_Vol	End_Vol	Start_Temperature	End_Temperature
1	1	Rest	0.00	0.00	0.00	0.00	0.00	0.0	3778.8	3778.8	0.0	0.0	
1	2	CC_DChg	0.52	145.61	145606.11	518.26	518255.56	145.6	3777.2	2999.7	0.0	0.0	
2	3	CCCV_Chg	0.00	0.01	6.52	0.02	19.64	0.0	3008.4	3008.4	0.0	0.0	
2	4	CC_DChg	0.00	0.02	16.31	0.05	48.96	0.0	3001.3	2999.7	0.0	0.0	
3	5	CCCV_Chg	0.13	237.59	237593.69	899.26	899262.43	237.6	3037.5	4297.1	0.0	0.0	
3	6	CC_DChg	0.12	232.16	232162.44	863.60	863602.06	232.2	4285.4	2999.1	0.0	0.0	
4	7	CCCV_Chg	0.13	232.92	232916.49	882.70	882704.68	232.9	3078.1	4297.1	0.0	0.0	
4	8	CC_DChg	0.12	231.97	231968.09	862.91	862910.61	232.0	4286.0	2998.8	0.0	0.0	
5	9	CCCV_Chg	0.13	232.45	232451.16	880.82	880823.75	232.5	3063.9	4297.1	0.0	0.0	
5	10	CC_DChg	0.12	231.79	231791.30	862.24	862239.03	231.8	4285.7	2999.4	0.0	0.0	
6	11	CCCV_Chg	0.13	231.68	231682.15	877.62	877616.25	231.7	3070.1	4297.1	0.0	0.0	
6	12	CC_DChg	0.12	231.71	231706.02	861.93	861926.81	231.7	4285.7	2999.1	0.0	0.0	
7	13	CCCV_Chg	0.13	232.10	232103.76	879.34	879336.66	232.1	3067.0	4297.1	0.0	0.0	
7	14	CC_DChg	0.12	231.67	231667.58	861.79	861787.79	231.7	4285.0	2999.1	0.0	0.0	
8	15	CCCV_Chg	0.13	231.94	231939.39	878.64	878635.68	231.9	3056.4	4297.1	0.0	0.0	
8	16	CC_DChg	0.12	231.53	231534.93	861.31	861307.88	231.5	4285.0	2999.4	0.0	0.0	
